LocID,PC1,PC2,percent_Pop2020_500m,percent_URBAN_IMPERVIOUS_500m,percent_OPEN_WATER_500m,percent_ROW_CROPS_500m,percent_GRASSLAND_500m,percent_BARREN_SPARSELY_VEGETATED_500m,percent_EVERGREEN_WOODY_VEGETATION_500m,percent_DECIDUOUS_WOODY_VEGETATION_500m,X,Y
339,0.122201282,-0.571497828,0.002251699,0.341419423,0,0,0.285454076,0.004292102,0.003057423,0.365776976,-90.3285518,38.5861925
34,3.741720713,0.456777929,0.004065377,0.721516587,0,0,0.070657881,0,0,0.207825532,-90.27931657,38.58270791
340,-0.706227909,0.407525286,0.001331731,0.297501795,0,0,0.183060791,0.002623994,0.009423969,0.507389451,-90.5497355,38.63867
341,-0.304455688,0.470127174,0.001878881,0.370900768,0.004009807,0,0.204416134,0,0.018913559,0.401759732,-90.3569357,38.6975554
342,-1.167165692,1.23036633,0.001903283,0.22733725,0,0,0.166078283,0.000566529,0.018151842,0.587866095,-90.4813254,38.5856882
343,0.273508925,0.880588389,0.002032851,0.373025066,0,0,0.127811241,0,0.006213117,0.492950575,-90.3456628,38.6588986
346,-2.662700599,-0.447427029,0.000121316,0.088950271,0.003469642,0,0.30821323,0.006058145,0.007032505,0.586276207,-90.1876834,38.7821721
35,0.114346892,-0.842130265,0.001442103,0.40769266,0,0,0.245268297,0.006991592,0.005838418,0.334209032,-90.27408283,38.78083896
36,3.575530607,0.312423037,0.003413517,0.744021891,0.00161512,0,0.056525391,0.000372916,0.000658012,0.196806669,-90.22645786,38.59408555
37,-1.157479774,-1.263642004,0.000562648,0.292271482,0.003036008,0,0.398036587,0,0.005422807,0.301233116,-90.37692283,38.49476528
38,1.512852549,-0.916303623,0.001395061,0.589834387,0,0,0.206434589,0.002443902,0,0.201287122,-90.30598594,38.60601312
39,0.378579756,0.299686525,0.002272073,0.395110396,0,0,0.205744209,7.25536069325608e-05,0.008525685,0.390547156,-90.30907585,38.62550796
